기업명,상세명,기업형태,지역,업종,자본금,매출액,대표자,설립일
딜리셔스랑고,㈜딜리셔스,중소기업,서울 종로구,전자상거래 소매업,,,,
딜리셔스랑고,㈜올투딜리셔스,중소기업,서울 송파구,음식료·외식·프랜차이즈,,,,
딜리셔스랑고,㈜스타일딜리셔스,중소기업,서울 강남구,섬유·의류·패션,,,,
딜리셔스랑고,㈜딜리셔스랑고,중소기업,서울 서초구,그 외 기타 정보 서비스업,,,,
딜리셔스랑고,딜리셔스피플,중소기업,대구 중구,천연 및 혼합조제 조미료 제조업,,,,
딜리셔스랑고,㈜딜리셔스푸드컴퍼니,중소기업,강원도 영월군,기타 가공식품 도매업,,,,
딜리셔스랑고,㈜더딜리셔스코리아,중소기업,경기 의정부시,한식 일반 음식점업,,,,
딜리셔스랑고,㈜딜리셔스월드에프앤비,중소기업,서울 마포구,음식료·외식·프랜차이즈,,,,
밥상푸드,㈜밥상푸드,중소기업,인천 서구,가금류 가공 및 저장 처리업,,,,
밥상푸드,주식회사 밥상편지푸드,중소기업,인천 서구,기타 식사용 가공처리 조리식품 제조업,,,,
에이치에스건설,에이치에스건설㈜,중소기업,충북 청주시,건물 건설업,,,,
에이치에스건설,㈜에이치에스비건설,중소기업,서울 송파구,지반조성 건설업,,,,
에이치에스건설,㈜에이치에스건설,중소기업,경기 양주시,건설·시공·토목·조경,,,,
에이치에스건설,에이치에스건설㈜,중소기업,경기 안양시,그 외 기타 분류 안된 사업지원 서비스업,,,,
에이치에스건설,에이치에스건설산업,중소기업,경기 김포시,금속·재료·자재,,,,
에이치에스건설,에이치에스종합건설,중소기업,경기 안성시,그 외 기타 건축 마무리 공사업,,,,
에이치에스건설,에이치에스도장건설㈜,중소기업,인천 부평구,도장 공사업,,,,
에이치에스건설,에이치에스종합건설,중소기업,울산 동구,기타 비주거용 건물 건설업,,,,
대산강건,(유)대산강건,중소기업,전북 익산시,시설물 유지관리 공사업,,,,
코아테크코리아,㈜코아테크코리아,중소기업,경기 안양시,"물질 검사, 측정 및 분석기구 제조업",1억원(2024.12.31),158억 6천만원(2024.12.31),전종환,2004.04.14(22년차)
코아테크코리아,㈜코아테크코리아,중소기업,경기 화성시,목재·제지·가구,"5,000만원",130억,전종환,2007.04.30(19년차)
아리산업,아림산업㈜,중소기업,경기 부천시,전기·전자·제어,6억원,50억,유광옥,-
아리산업,㈜아리산업,벤처기업,충북 청주시,건설·시공·토목·조경,6억원,98억,한정구,2006.01.09(20년차)
아리산업,아린산업,중소기업,경기 포천시,목재 도구 및 주방용 나무제품 제조업,"1억 1,000만원(2018.12.31)",14억 7백만원(2018.12.31),정소현,2015.01.09(11년차)
아리산업,아림산업,중소기업,서울 강남구,섬유·의류·패션,-,-,김민이,-
아리산업,아린산업,중소기업,경북 경산시,기타 플라스틱 발포 성형제품 제조업,-,-,채원빈,2018.07.01(8년차)
성북합동상사,㈜성북합동상사,중소기업,서울 성북구,물류·운송·배송,2억원,110억,민상현/민찬영,1976.09.23(50년차)
아데카코리아,아데카코리아,중견기업,전북 완주군,그 외 기타 분류 안된 화학제품 제조업,150억원(2025.03.31),"3,473억 6백만원(2025.03.31)",박종석,1991.11.02(35년차)
서연건설,서연건설㈜,중소기업,경기 파주시,콘크리트 및 철근 공사업,"4억 2,500만원(2023.12.31)",53억 2천만원(2023.12.31),한정순,2009.09.21(17년차)
서연건설,서연건설,중소기업,경기 고양시,건물 및 구축물 해체 공사업,"1억 5,000만원(2023.12.31)",10억원6만원(2023.12.31),변경진,2016.10.05(10년차)
서연건설,서연건설주식회사,중소기업,인천 서구,기타 비주거용 건물 건설업,"1,000만원(2023.12.31)",7억,김철권,2016.11.15(10년차)
나봄리조트,나봄리조트,중소기업,전북 무주군,호텔업,223억원(2024.12.31),47억 3백만원(2024.12.31),박진호,2009.03.01(17년차)
나봄리조트,나봄리조트㈜,중소기업,전북 장수군,호텔·여행·항공,,,,
하프타임,㈜하프타임,중소기업,서울 서대문구,일반 영화 및 비디오물 제작업,,,,
하프타임,하프타임스튜디오,중소기업,서울 구로구,응용 소프트웨어 개발 및 공급업,,,,
하프타임,하프타임챔피언점,중소기업,울산 남구,비주거용 건물 임대업,,,,
하프타임,하프타임서면몰편의점,중소기업,부산 부산진구,한식 해산물요리 전문점,,,,
지구물산,지구물산,중소기업,전북 전주시,농업 및 임업용 기계 제조업,,,,
지구물산,지구물산,중소기업,경기 화성시,접착제 및 젤라틴 제조업,,,,
글로벌텍,글로벌이엔텍㈜,중소기업,충남 당진시,건축·설비·환경,,,,
글로벌텍,글로벌엔텍㈜,중소기업,서울 금천구,화학·에너지·환경,,,,
글로벌텍,㈜뉴텍글로벌,중소기업,부산 강서구,자동차·조선·철강·항공,-,-,임영환,2004.12.01(22년차)
글로벌텍,베스텍글로벌,중소기업,인천 서구,포장용 플라스틱 성형용기 제조업,"2억 5,000만원(2024.12.31)",131억 1천만원(2024.12.31),백승권,2014.12.02(12년차)
글로벌텍,글로벌비즈텍,중소기업,서울 중랑구,솔루션·SI·CRM·ERP,,,,
글로벌텍,㈜케이텍글로벌,중소기업,부산 강서구,기계·기계설비,,,,
글로벌텍,㈜글로벌페이퍼텍,중소기업,경기 용인시,목재·제지·가구,,,,
글로벌텍,글로벌오토텍,중소기업,광주 광산구,자동차 차체 및 트레일러 제조업,,,,
글로벌텍,㈜웨이텍글로벌,중소기업,경기 안양시,"물질 검사, 측정 및 분석기구 제조업",,,,
글로벌텍,엠텍글로벌,중소기업,경남 창원시,유선 통신장비 제조업,,,,
한국국제협력단,한국국제협력단,공공기관,경기 성남시,외무 행정,,,,
한국국제협력단,코이카메디칼,중소기업,서울 관악구,의료기기 도매업,,,,
강지,㈜강지,중소기업,경남 김해시,절삭가공 및 유사처리업,,,,
강지,㈜화강지에스케이,중소기업,서울 마포구,무역·상사,,,,
강지,세성세무법인한강지,중소기업,서울 용산구,회계·세무·법무,,,,
강지,강지천한의원,중소기업,서울 노원구,한의원,,,,
강지,강지네 해물 손칼국수,중소기업,인천 중구,한식 면요리 전문점,,,,
강지,강지수세무회계사무소,중소기업,대구 동구,회계·세무·법무,,,,
강지,강지연뷰티 아카데미,중소기업,대전 서구,학원·어학원·교육원,,,,
강지,강지현,중소기업,경기 성남시,공연 기획업,,,,
대명산업,㈜대명보건산업,중소기업,대전 서구,"소독, 구충 및 방제 서비스업",,,,
대명산업,㈜대명레저산업 변산지점,중소기업,전북 부안군,호텔·여행·항공,,,,
대명산업,대명산업㈜,중소기업,울산 북구,그 외 자동차용 신품 부품 제조업,,,,
대명산업,㈜대명산업,중소기업,인천 남동구,육상 금속 골조 구조재 제조업,,,,
대명산업,대명산업,중소기업,경상북도 경산시,자동차 엔진용 신품 부품 제조업,,,,
대명산업,대명산업,중소기업,경남 창녕군,합성수지 및 기타 플라스틱 물질 제조업,,,,
대명산업,대명산업,중소기업,경북 칠곡군,금속·재료·자재,-,-,심명동,-
대명산업,대명산업기술㈜,중소기업,경남 김해시,금속 주조 및 기타 야금용 기계 제조업,"3,000만원(2024.12.31)",126억 9천만원(2024.12.31),김당주,2007.07.07(19년차)
팜로드,팜로드㈜,중소기업,서울 구로구,의약품 도매업,20억원(2024.12.31),"1,362억 4천만원(2024.12.31)",김진원,2017.09.01(9년차)
팜로드,㈜팜로드,중소기업,광주 서구,물류·운송·배송,"1억 6,000만원",9억4천,김영호,2005.08.01(21년차)
팜로드,로드팜,중소기업,전북 전주시,의약품 도매업,"2,442만원(2023.12.31)",61억 8천만원(2023.12.31),김성수,2017.08.03(9년차)
성진산업,성진산업개발㈜,중소기업,경기 안양시,금속·재료·자재,100억원,600억,양우진,2017.11.01(9년차)
성진산업,성진산업,중소기업,충남 서산시,자동차·조선·철강·항공,-,-,조순구,2011.09.01(15년차)
성진산업,성진산업㈜,중소기업,충남 아산시,레미콘 제조업,6억원(2024.12.31),185억 4천만원(2024.12.31),양우성,1990.08.01(36년차)
성진산업,성진산업,중소기업,대구 달서구,일반철물 제조업,1억원(2023.12.31),20억 8천만원(2023.12.31),이성식,2012.04.01(14년차)
성진산업,성진산업,중소기업,경남 김해시,벽 및 바닥 피복용 플라스틱제품 제조업,"4억 1,930만원(2023.12.31)",22억 5천만원(2023.12.31),조성진,2020.04.15(6년차)
성진산업,성진산업㈜,중소기업,경기 화성시,고무패킹류 제조업,"5,000만원(2020.12.31)",26억 1천만원(2020.12.31),유형석,2000.09.27(26년차)
성진산업,성진산업,중소기업,경상남도 창원시,고무패킹류 제조업,"9,500만원(2024.12.31)",16억 9천만원(2024.12.31),배수열,2013.09.23(13년차)
성진산업,성진전자부품산업㈜,중소기업,경기 남양주시,그 외 기타 플라스틱 제품 제조업,2억원,100억,권영남/이진한,1989.01.04(37년차)
성진산업,성진산업,중소기업,부산 기장군,금속·재료·자재,-,-,김복순,-
성진산업,㈜성진산업개발,중소기업,경기 김포시,콘크리트 및 철근 공사업,9억원(2022.12.31),240억 6천만원(2022.12.31),원현숙,1996.10.14(30년차)
에이스월드,에이스월드,중소기업,대구 서구,"전자기 측정, 시험 및 분석기구 제조업","1억 3,812만원(2017.12.31)",14억 7천만원(2017.12.31),한윤균,2000.12.01(26년차)
에이스월드,에이스월드,중소기업,서울 용산구,전자상거래 소매 중개업,-,-,AN JONG EUI,-
에이스월드,㈜ 월드에이스,중소기업,서울 서대문구,남녀용 겉옷 및 셔츠 도매업,1억원,350억원,김보철,-
유팜,주식회사 유앤팜,중소기업,경기 수원시,그 외 기타 분류 안된 사업지원 서비스업,"2,000만원(2023.12.31)",36억 7천만원(2023.12.31),박건영,2022.06.08(4년차)
유팜,㈜엠유팜,중소기업,인천 부평구,제약·보건·바이오,5억원,88억,황재덕,2006.08.01(20년차)
유팜,유팜몰,중소기업,서울 구로구,전자상거래 소매 중개업,10억원(2023.12.31),18억 6천만원(2023.12.31),최기호,2016.12.22(10년차)
유팜,마이코팜유한책임회사,중소기업,전북 전주시,건강기능식품 제조업,-,-,박재휘,2017.10.31(9년차)
강신산업,강신산업㈜,중소기업,서울 성북구,기타 화학물질 및 화학제품 도매업,25억원(2024.12.31),440억 3천만원(2024.12.31),박상욱/박창순/이근남,1979.01.05(47년차)
소비자교육중앙회,㈔소비자교육중앙회,비영리법인,서울 중구,사회교육시설,-,11억 6천만원(2015.12.31),주경순,1972.11.07(54년차)
소비자교육중앙회,사)소비자교육중앙회수원시지회,비영리법인,경기 수원시,그 외 기타 협회 및 단체,-,-,심재윤,-
드림하이테크,㈜드림하이테크,중소기업,경기 수원시,솔루션·SI·CRM·ERP,"1억 9,000만원",41억,김세연,2000.09.22(26년차)
드림하이테크,㈜드림하이테크,중소기업,경기 하남시,무역·상사,-,-,강영화,2009.05.11(17년차)
드림하이테크,드림하이테크,중소기업,서울 구로구,그 외 기타 전자부품 제조업,"1억 5,000만원(2024.12.31)","6억 6,918만원(2024.12.31)",최서유,2014.01.01(12년차)
드림하이테크,㈜드림하이테크,중소기업,인천 남동구,포장용 플라스틱 성형용기 제조업,"5,000만원(2024.12.31)",64억 8천만원(2024.12.31),조충현,2016.10.01(10년차)
대원지주회사,㈜대원지주회사,중견기업,서울 서초구,주거용 건물 건설업,6억원(2024.12.31),338억 8천만원(2024.12.31),강창길/전응식,2001.09.01(25년차)
